surface,number of triangle
0.5,46
1.0,76
1.5,53
2.0,60
2.5,32
3.0,81
3.5,34
4.0,61
4.5,42
5.0,56
5.5,46
6.0,65
6.5,49
7.0,45
7.5,36
8.0,45
8.5,42
9.0,62
9.5,38
10.0,45
10.5,36
11.0,43
11.5,35
12.0,53
12.5,17
13.0,32
13.5,30
14.0,32
14.5,38
15.0,39
15.5,36
16.0,29
16.5,28
17.0,24
17.5,6
18.0,39
18.5,33
19.0,19
19.5,26
20.0,25
20.5,22
21.0,27
21.5,11
22.0,15
22.5,7
23.0,21
23.5,18
24.0,24
24.5,11
25.0,21
25.5,18
26.0,14
26.5,10
27.0,16
27.5,6
28.0,7
28.5,12
29.0,9
29.5,7
30.0,16
30.5,6
31.0,9
31.5,3
32.0,11
32.5,3
33.0,6
33.5,6
34.0,8
34.5,5
35.0,5
35.5,2
36.0,3
36.5,5
37.0,4
37.5,3
38.0,5
38.5,1
39.0,3
39.5,4
40.0,2
41.5,1
42.0,1
43.0,2
